"","dateRep","day","month","year","cases","deaths","geoId","continentExp","countryterritoryCode","popData2018","countriesAndTerritories"
"234","28/03/2020",28,3,2020,12,3,"AL","Europe","ALB",2866376,"Albania"
"235","27/03/2020",27,3,2020,28,1,"AL","Europe","ALB",2866376,"Albania"
"236","26/03/2020",26,3,2020,23,0,"AL","Europe","ALB",2866376,"Albania"
"237","25/03/2020",25,3,2020,23,1,"AL","Europe","ALB",2866376,"Albania"
"238","24/03/2020",24,3,2020,11,2,"AL","Europe","ALB",2866376,"Albania"
"239","23/03/2020",23,3,2020,13,0,"AL","Europe","ALB",2866376,"Albania"
"240","22/03/2020",22,3,2020,6,0,"AL","Europe","ALB",2866376,"Albania"
"241","21/03/2020",21,3,2020,0,0,"AL","Europe","ALB",2866376,"Albania"
"242","20/03/2020",20,3,2020,11,0,"AL","Europe","ALB",2866376,"Albania"
"243","19/03/2020",19,3,2020,4,1,"AL","Europe","ALB",2866376,"Albania"
"244","18/03/2020",18,3,2020,4,0,"AL","Europe","ALB",2866376,"Albania"
"245","17/03/2020",17,3,2020,9,0,"AL","Europe","ALB",2866376,"Albania"
"246","16/03/2020",16,3,2020,4,0,"AL","Europe","ALB",2866376,"Albania"
"247","15/03/2020",15,3,2020,5,0,"AL","Europe","ALB",2866376,"Albania"
"248","14/03/2020",14,3,2020,10,0,"AL","Europe","ALB",2866376,"Albania"
"249","13/03/2020",13,3,2020,12,0,"AL","Europe","ALB",2866376,"Albania"
"250","12/03/2020",12,3,2020,1,1,"AL","Europe","ALB",2866376,"Albania"
"251","11/03/2020",11,3,2020,4,0,"AL","Europe","ALB",2866376,"Albania"
"252","10/03/2020",10,3,2020,4,0,"AL","Europe","ALB",2866376,"Albania"
"253","09/03/2020",9,3,2020,2,0,"AL","Europe","ALB",2866376,"Albania"
"254","13/06/2020",13,6,2020,109,10,"DZ","Africa","DZA",42228429,"Algeria"
"255","12/06/2020",12,6,2020,105,9,"DZ","Africa","DZA",42228429,"Algeria"
"256","11/06/2020",11,6,2020,102,8,"DZ","Africa","DZA",42228429,"Algeria"
"257","10/06/2020",10,6,2020,117,9,"DZ","Africa","DZA",42228429,"Algeria"
"258","09/06/2020",9,6,2020,111,8,"DZ","Africa","DZA",42228429,"Algeria"
"259","08/06/2020",8,6,2020,104,9,"DZ","Africa","DZA",42228429,"Algeria"
"260","07/06/2020",7,6,2020,115,8,"DZ","Africa","DZA",42228429,"Algeria"
"261","06/06/2020",6,6,2020,104,9,"DZ","Africa","DZA",42228429,"Algeria"
"262","05/06/2020",5,6,2020,205,14,"DZ","Africa","DZA",42228429,"Algeria"
"263","04/06/2020",4,6,2020,0,0,"DZ","Africa","DZA",42228429,"Algeria"
"264","03/06/2020",3,6,2020,113,6,"DZ","Africa","DZA",42228429,"Algeria"
"265","02/06/2020",2,6,2020,119,8,"DZ","Africa","DZA",42228429,"Algeria"
"266","01/06/2020",1,6,2020,127,7,"DZ","Africa","DZA",42228429,"Algeria"
"267","31/05/2020",31,5,2020,133,8,"DZ","Africa","DZA",42228429,"Algeria"
"268","30/05/2020",30,5,2020,137,8,"DZ","Africa","DZA",42228429,"Algeria"
"269","29/05/2020",29,5,2020,140,7,"DZ","Africa","DZA",42228429,"Algeria"
"270","28/05/2020",28,5,2020,160,6,"DZ","Africa","DZA",42228429,"Algeria"
"271","27/05/2020",27,5,2020,194,8,"DZ","Africa","DZA",42228429,"Algeria"
"272","26/05/2020",26,5,2020,197,9,"DZ","Africa","DZA",42228429,"Algeria"
"273","25/05/2020",25,5,2020,193,8,"DZ","Africa","DZA",42228429,"Algeria"
"274","24/05/2020",24,5,2020,195,10,"DZ","Africa","DZA",42228429,"Algeria"
"275","23/05/2020",23,5,2020,190,7,"DZ","Africa","DZA",42228429,"Algeria"
"276","22/05/2020",22,5,2020,186,7,"DZ","Africa","DZA",42228429,"Algeria"
"277","21/05/2020",21,5,2020,165,7,"DZ","Africa","DZA",42228429,"Algeria"
"278","20/05/2020",20,5,2020,176,6,"DZ","Africa","DZA",42228429,"Algeria"
"279","19/05/2020",19,5,2020,182,7,"DZ","Africa","DZA",42228429,"Algeria"
"280","18/05/2020",18,5,2020,198,6,"DZ","Africa","DZA",42228429,"Algeria"
"281","17/05/2020",17,5,2020,192,6,"DZ","Africa","DZA",42228429,"Algeria"
"282","16/05/2020",16,5,2020,187,7,"DZ","Africa","DZA",42228429,"Algeria"
"283","15/05/2020",15,5,2020,189,7,"DZ","Africa","DZA",42228429,"Algeria"
"284","14/05/2020",14,5,2020,186,7,"DZ","Africa","DZA",42228429,"Algeria"
